latitude,longitude,altitude,geometry,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
37.7316647926496,-122.44317743244899,,Point,2013-09-03 08:00:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,INGLESIDE,NONE,300 Block of MONTEREY BL,-122.44317743244899,37.7316647926496
37.7686952126247,-122.397842581798,,Point,2009-10-27 08:00:00,OTHER OFFENSES,RESISTING ARREST,Tuesday,BAYVIEW,NONE,1100 Block of 7TH ST,-122.397842581798,37.7686952126247
37.78447885387449,-122.404270179486,,Point,2008-06-11 12:25:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE,MISSION ST / 4TH ST,-122.404270179486,37.78447885387449
37.759691691831,-122.428203997155,,Point,2013-06-02 21:15:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE,19TH ST / CHURCH ST,-122.428203997155,37.759691691831
37.78418890752671,-122.41013523637699,,Point,2008-11-15 11:25:00,ASSAULT,THREATS AGAINST LIFE,Saturday,TENDERLOIN,"ARREST, BOOKED",100 Block of EDDY ST,-122.41013523637699,37.78418890752671
37.7886989511418,-122.420307355728,,Point,2005-06-29 09:49:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",BUSH ST / POLK ST,-122.420307355728,37.7886989511418
37.768023543435504,-122.413343513435,,Point,2014-11-13 14:18:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,MISSION,"ARREST, BOOKED",ALAMEDA ST / HARRISON ST,-122.413343513435,37.768023543435504
37.7586324051562,-122.419052694349,,Point,2007-02-07 10:05:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,MISSION,NONE,MISSION ST / 20TH ST,-122.419052694349,37.7586324051562
37.7936363546057,-122.407748570466,,Point,2008-06-15 10:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,CENTRAL,NONE,800 Block of STOCKTON ST,-122.407748570466,37.7936363546057
37.7452607746654,-122.42122878644899,,Point,2007-07-09 13:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,INGLESIDE,NONE,0 Block of TIFFANY AV,-122.42122878644899,37.7452607746654
37.7614118083919,-122.427242380192,,Point,2009-11-09 13:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,MISSION,NONE,3700 Block of 18TH ST,-122.427242380192,37.7614118083919
37.730024796823,-122.42718021085301,,Point,2005-12-30 17:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Friday,INGLESIDE,NONE,100 Block of NEY ST,-122.42718021085301,37.730024796823
37.784696907904,-122.413609328985,,Point,2005-05-21 17:16:00,NON-CRIMINAL,AIDED CASE,Saturday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.413609328985,37.784696907904
37.7329162539537,-122.416446124049,,Point,2003-03-31 10:25:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Monday,INGLESIDE,NONE,900 Block of ELLSWORTH ST,-122.416446124049,37.7329162539537
37.7772741854354,-122.404071611406,,Point,2007-06-11 12:35:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,"ARREST, CITED",HARRISON ST / 6TH ST,-122.404071611406,37.7772741854354
37.7285280627465,-122.47564746078599,,Point,2014-10-31 10:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,TARAVAL,NONE,3200 Block of 20TH AV,-122.47564746078599,37.7285280627465
37.7901567744673,-122.40836738789,,Point,2014-02-21 07:15:00,NON-CRIMINAL,LOST PROPERTY,Friday,CENTRAL,NONE,600 Block of BUSH ST,-122.40836738789,37.7901567744673
37.79872821788229,-122.43575101831,,Point,2013-08-24 01:30:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,NORTHERN,NONE,3100 Block of FILLMORE ST,-122.43575101831,37.79872821788229
37.7821198488931,-122.415669661443,,Point,2008-02-07 21:10:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415669661443,37.7821198488931
37.7347969947349,-122.39069763068301,,Point,2013-05-17 13:45:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED",OAKDALE AV / 3RD ST,-122.39069763068301,37.7347969947349
37.74116878165521,-122.477180805232,,Point,2008-08-08 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,TARAVAL,NONE,1900 Block of ULLOA ST,-122.477180805232,37.74116878165521
37.7789982847524,-122.42844230761101,,Point,2012-12-15 04:30:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,NORTHERN,"ARREST, CITED",1000 Block of MCALLISTER ST,-122.42844230761101,37.7789982847524
37.733917775522706,-122.392235600843,,Point,2006-03-23 22:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,BAYVIEW,NONE,1700 Block of QUESADA AV,-122.392235600843,37.733917775522706
37.784696907904,-122.413609328985,,Point,2009-04-03 15:32:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Friday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413609328985,37.784696907904
37.767717752066496,-122.41560549623699,,Point,2011-02-12 16:55:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,MISSION,"ARREST, CITED",1800 Block of FOLSOM ST,-122.41560549623699,37.767717752066496
37.739566960942994,-122.406979507971,,Point,2003-05-14 17:55:00,ASSAULT,UNLAWFUL DISSUADING/THREATENING OF A WITNESS,Wednesday,BAYVIEW,NONE,CORTLAND AV / BAY SHORE BL,-122.406979507971,37.739566960942994
37.7822305869807,-122.41029351969699,,Point,2005-01-26 17:18:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,SOUTHERN,NONE,6TH ST / MARKET ST,-122.41029351969699,37.7822305869807
37.7881906054546,-122.41858050888901,,Point,2013-09-16 21:05:00,ASSAULT,BATTERY,Monday,NORTHERN,NONE,1100 Block of LARKIN ST,-122.41858050888901,37.7881906054546
37.73644389967321,-122.394438859914,,Point,2010-05-17 17:30:00,MISSING PERSON,MISSING JUVENILE,Monday,BAYVIEW,LOCATED,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321
37.7619851996847,-122.440217789816,,Point,2011-07-26 16:15:00,OTHER OFFENSES,CONSPIRACY,Tuesday,PARK,"ARREST, BOOKED",100 Block of ORD ST,-122.440217789816,37.7619851996847
37.7675856525236,-122.417791285277,,Point,2006-11-19 01:44:00,BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, ATT. FORCIBLE",Sunday,MISSION,"ARREST, BOOKED",300 Block of SOUTH VAN NESS AV,-122.417791285277,37.7675856525236
37.7164586830811,-122.441018108888,,Point,2008-07-22 12:25:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, CITED",GENEVA AV / MISSION ST,-122.441018108888,37.7164586830811
37.7800332991006,-122.464279879446,,Point,2013-09-18 09:00:00,ASSAULT,THREATENING PHONE CALL(S),Wednesday,RICHMOND,NONE,400 Block of 6TH AV,-122.464279879446,37.7800332991006
37.781911962829795,-122.413047972078,,Point,2013-02-04 06:35:00,TRESPASS,LODGING WITHOUT PERMISSION,Monday,TENDERLOIN,"ARREST, CITED",100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
37.7360345055827,-122.49246863966101,,Point,2008-01-10 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,2700 Block of 35TH AV,-122.49246863966101,37.7360345055827
37.7920052450737,-122.39164888422,,Point,2014-11-26 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,SOUTHERN,NONE,HOWARD ST / STEUART ST,-122.39164888422,37.7920052450737
37.7344301822995,-122.451789219157,,Point,2008-12-14 13:00:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Sunday,INGLESIDE,NONE,400 Block of LOSPALMOS DR,-122.451789219157,37.7344301822995
37.7921976067413,-122.41499359364401,,Point,2008-04-30 00:01:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,CENTRAL,NONE,1300 Block of SACRAMENTO ST,-122.41499359364401,37.7921976067413
37.782664870999,-122.438053867276,,Point,2004-12-12 00:01:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,PARK,NONE,2000 Block of OFARRELL ST,-122.438053867276,37.782664870999
37.7142089386085,-122.436177137685,,Point,2008-09-01 07:55:00,OTHER OFFENSES,PAROLE VIOLATION,Monday,INGLESIDE,"ARREST, BOOKED",GENEVA AV / NAPLES ST,-122.436177137685,37.7142089386085
37.7378344818347,-122.38628068833,,Point,2013-08-20 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,1400 Block of INNES AV,-122.38628068833,37.7378344818347
37.7597252282091,-122.411572788477,,Point,2010-11-17 08:00:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE,700 Block of ALABAMA ST,-122.411572788477,37.7597252282091
37.71317190247171,-122.459023622401,,Point,2003-07-21 19:09:00,WARRANTS,WARRANT ARREST,Monday,TARAVAL,"ARREST, BOOKED",CAPITOL AV / BROAD ST,-122.459023622401,37.71317190247171
37.78328787354911,-122.408953598286,,Point,2005-07-13 20:40:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,"ARREST, BOOKED",MASON ST / TURK ST,-122.408953598286,37.78328787354911
37.787515874162295,-122.407434989523,,Point,2010-11-20 15:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,CENTRAL,NONE,200 Block of GEARY ST,-122.407434989523,37.787515874162295
37.782072931180004,-122.41222416474301,,Point,2003-02-20 15:03:00,WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",JONES ST / GOLDEN GATE AV,-122.41222416474301,37.782072931180004
